production_company_type_id,production_company_name
1009,Blue Storm Télé
1010,Spark
1011,Big Motion Pictures
1012,ISBSP Productions
1013,腾飞影业
1014,北京华鼎世纪国际文化有限公司
1015,Mago Production
1016,Pfanderfilm
1017,Effingee Productions (GB)
1018,Sony PCL
1019,Multicom Entertainment Group
1020,TV Asahi Music
1021,Just Up
1022,中国中央电视台
1023,Endemol Shine North
1024,HahnShinn Corporation Corea
1025,LSTW
1026,Showbox
1027,Fourth Floor Productions
1028,Jacom
1029,Rainshine Entertainment
1030,Cadena SER
1031,Cube Vision
1032,Films Jacques-Yves Cousteau
1033,ENISHIYA
1034,Back2Back Productions
1035,TV Ovo
1036,Sinevizyon Film
1037,BR2 Productions
1038,GlowFly Pictures
1039,Coyote Productions
1040,Producciones del Barrio
1041,Team RL
1042,Norway Productions
1043,DirecTV
1044,Omega Films S.L
1045,广东南方电视台
1046,Walk on Air Films
1047,TED
1048,오에이치스토리
1049,takeonestudiosproduction
1050,SFP
1051,Joy Mill Entertainment
1052,The CinemaDosti
1053,欢喜传媒集团有限公司
1054,Taffy Entertainment
1055,Alfred Street Industries
1056,Auxyma
1057,ICONIX Entertainment
1058,INCS toenter
1059,Groupe 3.14
1060,Spectra Filmes
1061,Ateliéry Zlín
1062,Intermission Film
1063,Pakapaka
1064,Little Monster Films
1065,Playa Inc.
1066,IST Entertainment
1067,Yellow Door Productions
1068,YG Studioplex
1069,Sunnyvale Productions
1070,Filmlord TV
1071,Cuatro
1072,Boris Love
1073,Deadpan Pictures
1074,Endemol Productions UK
1075,Imago TV
1076,Evolution Films
1077,TV2 Øst
1078,Brain Academy
1079,Fox International Productions
1080,SM Culture & Contents
1081,RTP 2
1082,Isis Production
1083,Jamie Oliver Productions
1084,Doceye
1085,Dinamo S.R.L
1086,BuzzFeed News
1087,Rafflande!
1088,Jinxi Film & TV
1089,The West Coast Comedy Company
1090,Beachside Films
1091,Aeon Entertainment
1092,Watercress Productions
1093,Blue Bread
1094,天津九久尚影传媒有限责任公司
1095,Communication Network Pvt. Ltd
1096,Robert Horn Productions
1097,CTB Film Company
1098,Dansu Films
1099,Ltd.
1100,Hella-TV
1101,Jasvand Entertainment
1102,Warner Sisters Productions
1103,Morgen Studios
1104,Made by Us
1105,Apploff Entertainment
1106,Süddeutscher Rundfunk
1107,搜狐视频
1108,Video Magazine
1109,Nish Media
1110,Kartagen
1111,Arcadia Entertainment
1112,Sonic Team
1113,Velvet Stone Media
1114,Electric Circus
1115,In D House
1116,Fox Alternative Entertainment
1117,Soapbox Films
1118,Arthouse Digital
1119,Small Mammal Productions
1120,Dirty Puppet
1121,المسرح الوطني
1122,浙江影视（集团）有限公司
1123,PassionFlix
1124,Pacific Film and Television Commission
1125,Fremantle Mexico
1126,Новий Канал
1127,P&S Production
1128,H& Entertainment
1129,ARIA entertainment
1130,StellaNova Film
1131,Trump Productions LLC
1132,Bavaria Fiction
1133,High Pigxell
1134,Anitus Kōbe
1135,Black Ticket Company
1136,Wolfhouse
1137,Arte Cipango
1138,Vista Productions
1139,School-Studio of Aleksandr Mitta
1140,Vico Films
1141,Abominable Pictures
1142,H2R Productions
1143,Hopscotch Films
1144,Les Films de la Perrine
1145,Satellite of Love
1146,King Brothers Productions
1147,MOVMNT
1148,Mammoth Screen
1149,Children's Corner
1150,Dick Berg-Stonehenge Productions
1151,Rabbit Foot Entertainment
1152,Tradewest
1153,Reunion Pictures
1154,Michael Jaffe Films
1155,Art city
1156,Cité-Amérique
1157,Odeon Entertainment
1158,ScienceVision
1159,Confédération Française Démocratique du Travail (CFDT)
1160,Svenska YLE
1161,Excel Entertainment
1162,Thrillist
1163,Huashan Swords Media
1164,Crea Anima2
1165,Bavaria Filmproduktion Köln
1166,Abuzs Original
1167,Merrill Heatter Productions
1168,FM Productions
1169,Dateline NBC
1170,Jeremy Carver Productions
1171,Nigel Marven Productions
1172,Story Mining & Supply Company
1173,SND
1174,Ulla Alderin
1175,北京润亚影视传播有限公司
1176,Hispaniola Produções
1177,Marcus Entertainment
1178,Project Geass
1179,Falster Inc.
1180,Vision Hawk Films
1181,Middle East Broadcasting Centre (MBC)
1182,Rocket Science Laboratories
1183,Apple Film Production
1184,Phase 4 Productions
1185,Carol Mendelsohn Productions
1186,Ipatimup
1187,Zygote Films
1188,北京三多堂传媒股份有限公司
1189,Mimi World
1190,Rebel Films
1191,60Forty Films
1192,Blixa Film Productktion
1193,This Machine Filmworks
1194,NFP neue film produktion
1195,Nativa Contenidos
1196,Midnight Scientists LLC
1197,495 Productions
1198,Amaze Film + Television
1199,Full Players
1200,DATSIT
1201,Gaia
1202,Jaywalk Studio
1203,Four Winds Productions
1204,ShadowMachine
1205,霹雳国际多媒体股份有限公司
1206,OK Great Productions
1207,Fairmont/Foxcroft Productions
1208,Watchdog Media Institute
1209,Rovio Entertainment
1210,Vin Di Bona Productions
1211,Teleshot
1212,Pawan Kumar Studios
1213,Bay Mills Studios
1214,Samantha Brown Media
1215,Good Story Media
1216,PTG Entertainment
1217,TalkTV
1218,Warp Films
1219,Fork Films
1220,Millar Gough Ink
1221,Noovo
1222,U-NEXT
1223,Collins-Holm Productions
1224,Polygram Entertainment
1225,RBL Studios
1226,My Video
1227,Banana Zoo Productions
1228,Trebina Music
