vote_count,vote_average,show_id
666,7.0,2675
666,7.893,79410
666,8.527,62273
665,6.932,56295
664,7.525,97400
661,8.249,105556
661,7.629,88055
660,7.7,46901
659,7.818,38693
659,7.432,84977
659,8.565,82684
658,8.402,65143
655,8.25,111110
655,7.0,57532
653,7.877,606
653,8.621,95269
652,8.625,83121
650,8.453,2723
649,8.178,94280
649,7.748,5522
648,7.873,34415
648,7.785,65555
647,8.405,46028
647,6.2,68315
646,7.176,95281
646,7.431,2025
646,7.389,45
644,7.984,13023
643,7.854,926
643,7.939,62428
643,8.183,96203
643,8.185,97727
641,8.3,74682
640,8.219,2660
639,7.7,2228
639,8.1,70796
638,7.299,67116
637,7.3,67135
637,7.477,113901
636,8.3,67126
635,7.574,160
635,8.505,98123
633,7.979,82
633,7.254,66786
631,7.425,114695
630,8.519,84669
629,8.5,86836
629,8.4,31724
629,8.57,35790
627,8.1,2382
625,8.492,42509
624,7.9,4482
624,7.651,83659
623,7.648,68734
622,8.056,4546
622,8.342,99778
622,8.124,1414
621,8.064,3322
620,8.221,98754
620,8.2,33623
618,6.821,21494
618,7.591,67683
618,8.461,76747
617,7.097,93484
616,6.919,96557
616,7.59,47450
614,7.34,68878
614,7.993,30983
612,8.068,4018
612,6.015,68716
612,7.657,3022
612,8.185,90814
611,7.473,83851
611,7.458,69470
611,7.4,90855
609,7.383,2458
608,7.031,86850
608,7.91,67557
607,8.09,38974
606,7.838,2942
605,7.356,5148
605,8.228,2207
605,8.5,97617
604,8.1,61339
602,8.002,1436
602,7.6,73321
601,7.9,112836
596,7.213,4610
595,7.632,59427
595,7.539,73777
594,8.139,80828
593,8.267,61611
593,7.931,18685
593,8.024,65495
593,7.315,104819
593,7.269,104555
592,7.242,82816
588,7.8,4345
587,7.677,44305
586,8.172,17572
586,7.7,4605
586,6.551,62816
585,8.482,197067
585,7.403,4608
583,7.642,111803
582,7.9,60694
580,7.219,1481
579,8.5,72517
579,7.2,66857
578,8.208,32351
575,7.5,98034
575,6.97,86382
574,7.595,720
573,7.555,1422
572,8.162,64706
571,8.273,51817
570,8.008,79008
570,8.048,873
569,6.828,106541
568,7.579,40293
568,8.283,60808
568,7.892,652
568,8.204,77240
568,7.604,42025
568,7.232,4429
566,7.977,96580
566,7.661,15819
565,8.27,136315
564,7.687,57911
564,8.324,1063
560,7.933,918
559,7.866,12777
559,8.574,68129
558,8.11,11721
558,8.11,33765
558,8.505,9160
558,7.996,111141
558,8.233,61389
554,6.708,2046
552,7.582,117488
552,6.594,85922
551,7.82,48462
550,6.837,45140
549,8.35,64710
549,7.89,90282
548,8.065,111499
545,7.792,4620
545,8.393,79434
542,8.538,35753
541,8.519,106292
541,8.607,94796
539,7.431,15655
538,8.253,849
538,8.606,79141
536,7.068,4238
536,7.577,64684
534,7.434,1558
534,7.29,66190
534,7.9,88640
533,7.289,12965
533,7.8,1432
532,7.7,87763
532,7.851,99581
531,8.3,14929
531,8.357,2131
531,8.427,63145
530,8.234,2913
529,8.572,88803
529,8.473,61752
529,7.583,62649
529,8.043,58981
529,7.5,7458
527,7.8,96777
527,8.247,125988
527,7.987,83631
527,7.385,93785
526,8.536,70637
525,8.134,6782
525,8.551,86034
522,6.872,62858
522,8.6,65648
522,7.751,63764
522,7.3,84452
522,8.195,4743
521,7.33,2405
521,8.3,87527
520,7.7,32218
519,7.826,2260
517,8.284,81046
516,7.5,62822
516,7.3,2122
514,7.3,49011
514,8.6,67389
514,8.332,42916
513,7.5,82809
513,7.886,121
513,8.119,15621
512,8.496,79818
512,8.55,107124
512,7.905,5835
510,7.8,88061
509,7.8,83596
509,7.998,71715
505,8.533,45783
505,7.588,141
504,7.803,1126
503,7.613,71769
501,7.234,46928
501,8.112,45016
500,8.5,123249
500,7.383,2355
500,6.8,2140
499,6.7,62517
498,7.845,75208
497,7.704,87917
496,6.401,18197
496,7.778,15842
494,7.261,71116
493,7.515,63623
492,7.4,81349
492,7.42,114501
490,7.2,99588
490,8.041,91275
488,7.77,60726
488,7.482,88516
487,7.922,77236
485,8.281,194766
485,7.6,1435
485,7.602,84647
484,7.805,86848
482,8.5,136283
482,7.341,79622
480,8.556,90447
479,8.02,32226
478,7.2,39269
478,8.4,65676
478,8.5,35935
476,7.558,5739
476,7.859,1428
476,7.964,96444
474,8.16,513
473,8.208,99494
473,7.93,85021
473,7.4,2287
472,7.2,89844
470,7.366,66871
468,7.2,69998
468,8.12,79086
468,7.563,36
468,7.801,129035
466,7.34,210232
464,7.888,44824
462,7.317,1940
462,7.985,60585
461,6.385,1410
460,8.027,73544
460,7.612,117023
460,7.704,62699
460,7.171,61671
459,7.333,93287
459,7.071,88052
458,7.39,2327
458,8.287,2902
457,8.635,66433
457,7.5,549
456,8.002,100412
456,7.7,33761
456,8.493,88046
455,7.862,79863
455,7.584,127865
454,6.849,60858
453,8.457,92468
453,6.965,3772
452,6.998,4615
452,6.3,2224
452,8.03,46511
451,8.422,114395
450,7.786,1830
450,7.542,116450
450,8.336,1777
449,7.916,4271
448,7.26,197588
448,7.146,42295
448,7.39,51019
448,8.032,88324
447,7.724,73467
445,8.109,3137
444,7.8,82282
444,7.918,15079
442,7.219,112314
442,8.293,79084
442,7.4,236
442,7.533,1615
442,8.233,128883
440,7.3,424
440,7.815,346
439,7.828,68073
439,7.274,93811
438,8.083,91977
438,6.821,45094
438,7.8,58539
437,6.879,62413
437,8.001,16830
436,7.0,82585
436,8.198,1087
435,6.989,5687
435,7.649,96129
434,7.763,82424
434,7.5,5459
434,5.797,108296
433,7.835,71225
433,8.15,155537
432,7.587,14396
431,7.0,2437
431,7.625,709
431,8.05,94810
431,7.682,66825
431,8.021,903
431,7.8,32962
430,7.574,92916
430,6.812,51704
429,7.909,129552
429,7.33,81357
429,7.8,19649
427,7.714,1546
427,7.864,111111
427,8.067,66958
424,7.297,60699
424,7.489,2919
423,8.1,46883
423,7.405,94154
423,8.5,37585
423,7.559,64254
423,7.418,97173
422,7.028,82565
422,7.489,155
421,7.854,113367
421,6.6,63375
420,8.589,77721
420,8.075,103157
420,8.577,30981
419,7.2,101881
418,8.2,82591
418,7.15,71340
417,7.588,4879
417,7.555,2345
416,7.069,19092
416,8.139,46195
416,7.096,64394
416,7.863,1720
415,7.0,4331
415,6.954,4454
414,8.2,129600
414,7.05,3611
414,7.832,64439
414,8.245,82428
413,7.6,86428
413,7.521,134949
413,8.007,135340
412,7.2,648
412,7.4,365
412,7.159,73157
412,7.226,68467
411,7.9,97645
411,7.23,3750
411,8.622,135157
411,7.827,70176
410,8.098,61901
410,7.589,33001
410,7.79,54583
410,7.967,668
410,7.485,7821
409,8.28,688
408,6.9,100333
407,8.399,118357
406,8.208,21729
406,8.291,103516
405,8.222,1457
405,8.523,46004
403,8.082,61068
403,7.9,61738
403,8.014,59659
403,5.9,4386
402,8.007,32605
402,8.114,97219
401,7.638,127700
400,6.87,16118
400,7.0,9957
400,7.775,61662
399,6.8,9045
399,7.31,78903
399,7.629,98161
398,7.943,82001
397,6.916,77184
395,7.8,4624
395,8.551,30669
395,8.008,116386
395,7.285,79026
395,7.275,61599
395,8.22,1848
395,8.5,108284
394,8.392,92983
393,8.5,72636
393,7.438,2692
393,8.537,106600
392,8.2,790
391,8.316,60728
391,7.746,66025
391,7.57,77532
390,7.723,66676
390,7.8,269
390,7.938,7246
389,7.44,99626
389,7.566,33025
389,7.55,77341
388,6.836,46080
388,7.589,4324
388,7.696,93392
388,7.593,504
388,8.6,99779
388,7.3,2362
387,7.463,44606
387,8.203,26453
387,7.487,4184
387,7.68,99310
387,7.239,14956
386,8.475,97860
386,7.596,7695
386,7.61,1649
386,7.8,3868
385,7.396,61387
385,8.191,46922
384,8.4,24835
383,7.347,79611
383,8.27,84231
383,8.242,91875
382,7.471,2407
382,7.5,16961
382,7.47,2119
381,6.727,102085
381,8.047,61929
381,7.982,32895
381,8.482,112160
381,7.651,2566
380,7.082,83478
380,7.957,38464
379,7.004,66008
379,7.938,1712
379,7.843,2022
378,7.013,4515
378,8.258,112162
378,7.57,1018
378,7.817,33852
378,8.324,87083
375,7.3,68202
375,7.675,1401
374,8.15,1618
374,6.703,58811
374,7.93,61014
374,6.941,100698
372,7.0,73987
372,7.414,98178
372,7.7,42503
370,8.2,90630
370,7.77,99799
370,7.7,15826
370,8.153,21409
370,7.643,18341
369,7.946,745
369,8.569,40143
368,8.2,34105
368,7.645,7317
368,7.904,118956
368,8.1,1719
367,7.781,58710
367,5.856,15632
366,6.9,1667
366,7.191,88989
365,7.299,96608
364,8.093,32910
364,7.636,72597
364,8.063,12598
364,7.6,111119
363,8.6,123566
363,8.351,92592
362,7.1,64387
362,8.11,59375
362,8.135,67166
361,8.478,72296
360,7.953,46849
360,8.507,34742
359,7.597,39525
359,6.767,2530
359,7.781,34408
359,7.32,32868
358,7.468,66185
358,7.923,21641
358,8.337,83103
358,7.499,61838
358,7.503,1908
358,7.3,1663
357,8.003,44807
357,7.015,1759
357,8.231,9907
357,7.8,7311
356,8.2,288
355,7.5,39859
355,7.376,72339
355,7.8,2429
354,7.627,12961
354,7.768,2617
353,7.969,185
353,7.948,17035
352,7.4,2947
352,7.1,58928
351,8.348,113962
350,7.497,103086
350,6.5,70513
350,8.434,3793
349,6.8,19654
349,8.292,100087
349,7.7,60930
348,7.852,19253
348,7.763,92137
348,7.54,31941
347,7.5,109470
347,7.4,14658
347,7.095,9051
346,7.912,73944
346,7.306,28379
346,7.123,1567
345,7.383,85273
345,8.438,65931
